,Beds,Baths,Square Ft,Type,Year Built,Lot Size,Stories,Address,Price
0,5,3,"2,606",Single Family Residential,1922,"7,500 Sq. Ft.",2.5,"1908 Napa Ave, Berkeley, CA 94707","$2,105,529"
0,4,2,"1,527",Single Family Residential,1925,"3,800 Sq. Ft.",2,"774 Neilson St, Berkeley, CA 94707-184","$1,398,000"
0,4,3,"2,229",Single Family Residential,1927,"6,800 Sq. Ft.",2,"1039 Euclid Ave, Berkeley, CA 94708","$1,875,000"
0,3,2,"2,200",Single Family Residential,1939,"5,500 Sq. Ft.",1.5,"10 Alamo Ave, Berkeley, CA 94708","$1,553,000"
0,3,1,"1,569",Single Family Residential,1924,"5,400 Sq. Ft.",1,"1243 Martin Luther King Jr Way, Berkeley, CA 94709","$1,950,000"
0,2,1,833,Single Family Residential,1941,"3,210 Sq. Ft.",1,"1066 Stannage Ave, Albany, CA 94706","$965,000"
0,3,2,"1,634",Single Family Residential,1904,"4,270 Sq. Ft.",1.5,"3022 Harper St, Berkeley, CA 94703","$1,684,100"
0,2,1,"1,062",Single Family Residential,1922,"3,500 Sq. Ft.",1,"1307 Blake St, Berkeley, CA 94702","$1,175,000"
0,2,1,"1,276",Single Family Residential,1938,"5,110 Sq. Ft.",1,"555 Coventry Rd, Kensington, CA 94707","$1,325,000"
0,4,2,"2,502",Single Family Residential,1903,"5,335 Sq. Ft.",2,"2523 Etna St, Berkeley, CA 94704","$1,550,000"
0,3,2,"2,012",Single Family Residential,1906,"5,400 Sq. Ft.",2,"1923 Dwight Way, Berkeley, CA 94704","$1,411,638"
0,4,3,"3,174",Single Family Residential,1911,"5,850 Sq. Ft.",1.5,"2710 Claremont Blvd, Berkeley, CA 94705","$2,750,000"
0,4,1.5,"1,726",Single Family Residential,1912,"4,000 Sq. Ft.",1.5,"3069 Bateman St, Berkeley, CA 94705","$2,050,000"
0,3,2,"1,703",Single Family Residential,1941,"5,070 Sq. Ft.",1,"1412 10Th St, Berkeley, CA 94710","$1,465,000"
0,4,3,"3,051",Single Family Residential,—,—,—,"1301 Berkeley Way, Berkeley, CA 94702","$2,096,300"
0,3,1,"1,874",Single Family Residential,1910,"5,200 Sq. Ft.",1.5,"1934 Parker, Berkeley, CA 94704","$1,724,000"
0,2,1,"1,176",Single Family Residential,1947,"8,000 Sq. Ft.",1,"315 Rugby Ave, Kensington, CA 94708","$1,385,000"
0,2,2,"1,159",Multi-Family (2-4 Unit),1920,"2,900 Sq. Ft.",1,"1241 Burnett St, Berkeley, CA 94702","$975,000"
0,2,1,849,Single Family Residential,1913,"2,150 Sq. Ft.",1,"1618 Grant St, Berkeley, CA 94703","$1,260,000"
0,4,3,"3,085",Single Family Residential,1937,0.28 Acres,2,"291 The Uplands, Berkeley, CA 94705","$2,450,000"
0,3,2,"2,037",Single Family Residential,1939,0.27 Acres,1.5,"581 Grizzly Peak, Berkeley, CA 94708-1212","$2,550,000"
0,4,3,"2,138",Single Family Residential,1932,"5,130 Sq. Ft.",2,"1424 Josephine St, Berkeley, CA 94703","$2,800,000"
0,4,4,"2,481",Single Family Residential,1955,"5,227 Sq. Ft.",2,"189 Highland Blvd, Kensington, CA 94708","$1,830,000"
0,5,4,"4,653",Single Family Residential,1936,"5,047 Sq. Ft.",2,"440 Vassar Ave, Berkeley, CA 94708","$2,660,000"
0,3,2,"1,358",Single Family Residential,1940,"4,042 Sq. Ft.",1.5,"2500 Sacramento St, Berkeley, CA 94702","$1,375,000"
0,3,3,"1,662",Single Family Residential,1938,"3,723 Sq. Ft.",1,"580 Cragmont, Berkeley, CA 94708","$1,900,000"
0,2,2,"1,216",Single Family Residential,1961,"6,232 Sq. Ft.",1,"860 Grizzly Peak Blvd, Berkeley, CA 94708","$1,500,000"
0,2,1,960,Single Family Residential,1925,"3,325 Sq. Ft.",1,"2815 Wallace St, Berkeley, CA 94702","$914,450"
0,4,2,"2,071",Single Family Residential,1914,"5,712 Sq. Ft.",1,"1219 Monterey, Berkeley, CA 94707","$2,275,000"
0,3,2,"1,671",Single Family Residential,1927,"5,170 Sq. Ft.",1,"1023 Cragmont Ave, Berkeley, CA 94708","$1,065,000"
0,3,2,"1,547",Single Family Residential,1924,"3,350 Sq. Ft.",1.5,"1930 Hopkins St, Berkeley, CA 94707","$1,659,000"
0,4,3,"2,215",Single Family Residential,1917,"4,000 Sq. Ft.",2,"1639 Oregon St, Berkeley, CA 94703","$2,157,000"
0,3,1.5,"1,382",Single Family Residential,1940,"4,268 Sq. Ft.",1.5,"2520 Sacramento St, Berkeley, CA 94702","$1,310,000"
0,3,2,"1,611",Single Family Residential,1928,"3,600 Sq. Ft.",2,"2631 Dana St, Berkeley, CA 94704","$1,400,000"
0,2,2,"1,214",Single Family Residential,1953,"5,334 Sq. Ft.",1,"990 Grizzly Peak Blvd, Berkeley, CA 94708","$1,779,523"
0,2,2,"1,448",Single Family Residential,1939,"4,000 Sq. Ft.",1,"211 Purdue Ave, Kensington, CA 94708","$1,055,000"
0,6,6,"4,177",Multi-Family (2-4 Unit),1923,"6,175 Sq. Ft.",2.5,"680 Vincente Ave, Berkeley, CA 94707","$2,250,000"
0,3,2,"1,369",Single Family Residential,1908,"5,130 Sq. Ft.",1,"1623 Woolsey St, Berkeley, CA 94703","$1,240,000"
0,2,1,"1,012",Single Family Residential,1925,"3,300 Sq. Ft.",1,"1463 Stannage Ave, Berkeley, CA 94702","$1,067,375"
0,3,2.5,"2,478",Single Family Residential,1914,"5,250 Sq. Ft.",2,"2914 Forest Ave, Berkeley, CA 94705","$3,500,000"
0,3,2.5,"2,929",Single Family Residential,1906,"6,075 Sq. Ft.",1.5,"2616 Etna St, Berkeley, CA 94704","$2,320,000"
0,4,2,"2,139",Single Family Residential,1905,"4,000 Sq. Ft.",1,"1633 Edith St, Berkeley, CA 94703","$1,815,000"
0,2,1,684,Single Family Residential,1900,"2,600 Sq. Ft.",1,"2423 Grant St, Berkeley, CA 94703","$732,500"
0,3,2,"2,281",Single Family Residential,1936,"4,725 Sq. Ft.",1.5,"898 Contra Costa Ave, Berkeley, CA 94707","$1,630,000"
0,2,1,"1,142",Single Family Residential,1924,"4,120 Sq. Ft.",1,"2333 VALLEY St, Berkeley, CA 94702","$1,100,001"
0,3,2.5,"2,684",Single Family Residential,1911,"6,930 Sq. Ft.",2,"818 Spruce St, Berkeley, CA 94707","$2,200,000"
0,3,2,"1,444",Single Family Residential,1924,"5,400 Sq. Ft.",1.5,"2230 Stuart St, Berkeley, CA 94705","$1,850,000"
0,2,2,"1,646",Single Family Residential,1938,"5,257 Sq. Ft.",1.5,"1230 Colusa Ave, Berkeley, CA 94707","$1,984,880"
0,3,2,"1,902",Single Family Residential,1923,"5,320 Sq. Ft.",1,"1208 Blake St, Berkeley, CA 94702","$1,050,000"
0,3,2.5,"1,725",Single Family Residential,1936,"5,888 Sq. Ft.",1.5,"1384 Ada St, Berkeley, CA 94702","$1,755,000"
0,4,2.5,"2,030",Single Family Residential,1906,"4,300 Sq. Ft.",2,"2630 Grant St, Berkeley, CA 94703","$1,950,000"
0,3,2,"1,278",Single Family Residential,1926,"5,000 Sq. Ft.",1,"1208 Evelyn Ave, Berkeley, CA 94706","$1,050,000"
0,2,2,"1,075",Single Family Residential,1925,"3,162 Sq. Ft.",1.5,"3000 Wheeler, Berkeley, CA 94705","$1,330,000"
0,2,2,"1,330",Single Family Residential,1946,"3,762 Sq. Ft.",1,"133 Windsor Ave, Kensington, CA 94708","$1,400,000"
0,2,1,807,Single Family Residential,1941,"4,541 Sq. Ft.",1,"1221 Blake St, Berkeley, CA 94702","$1,281,000"
0,5,4.5,"4,059",Single Family Residential,2017,0.68 Acres,2,"85 Roble Rd, Oakland, CA 94618","$3,600,000"
0,3,3,"1,766",Single Family Residential,1908,"5,000 Sq. Ft.",1,"1306 Peralta Ave, Berkeley, CA 94702","$1,700,000"
0,4,2.5,"2,092",No,No,2,2,"2707 Parker St, Berkeley, CA 94704","$1,580,000"
0,4,2,"1,800",Multi-Family (2-4 Unit),1920,"5,150 Sq. Ft.",1,"1326 Berkeley Way, Berkeley, CA 94702","$1,600,000"
0,3,3,"1,836",Yes,No,2,2,"989 Middlefield Rd, Berkeley, CA 94708","$1,407,132"
0,3,2,"1,584",Single Family Residential,1924,"5,050 Sq. Ft.",1,"68 Avis Rd, Berkeley, CA 94707","$1,435,000"
0,2,1,"1,059",Single Family Residential,1923,"2,665 Sq. Ft.",1,"1425 Mcgee Ave, Berkeley, CA 94703","$1,495,000"
0,3,3,"2,702",Single Family Residential,1923,"5,250 Sq. Ft.",2,"886 Arlington Ave, Berkeley, CA 94707","$2,365,000"
0,4,2,"2,056",Single Family Residential,1956,0.37 Acres,1,"1091 Creston Rd, Berkeley, CA 94708","$2,500,000"
0,5,3.5,"3,421",Single Family Residential,1914,0.28 Acres,2,"21 Mosswood Rd, Berkeley, CA 94704","$1,700,000"
0,3,0.5,"1,627",Single Family Residential,1932,"7,850 Sq. Ft.",1.5,"2244 Summer St, Berkeley, CA 94709","$1,215,000"
0,2,2,"1,092",Single Family Residential,1948,"5,712 Sq. Ft.",1,"138 Lawson Rd, Kensington, CA 94707","$1,308,000"
0,2,1.5,"1,318",Single Family Residential,1918,"4,140 Sq. Ft.",1,"911 Tulare Ave, Berkeley, CA 94707","$1,550,000"
0,4,3,"3,525",Single Family Residential,1930,"6,552 Sq. Ft.",2,"747 San Diego Rd, Berkeley, CA 94707","$2,100,000"
0,5,5,"2,958",Single Family Residential,1913,"4,160 Sq. Ft.",3,"665 62nd St, Oakland, CA 94609","$1,717,546"
0,2,2.5,"2,119",Single Family Residential,1936,"5,896 Sq. Ft.",2,"917 Euclid, Berkeley, CA 94708","$1,500,000"
0,3,1.5,988,Single Family Residential,1959,"4,290 Sq. Ft.",1,"1518 10th St, Berkeley, CA 94705","$725,000"
0,3,1.5,"1,231",Single Family Residential,1922,"4,200 Sq. Ft.",1,"1554 Beverly Pl, Berkeley, CA 94706","$1,490,000"
0,4,2.5,"1,952",Single Family Residential,1913,"7,250 Sq. Ft.",1,"1119 Milvia St, Berkeley, CA 94707","$1,925,000"
0,5,3,"2,356",Single Family Residential,1953,"8,100 Sq. Ft.",1,"20 Franciscan Way, Kensington, CA 94707","$1,700,000"
0,3,3,"2,282",Single Family Residential,1955,"6,992 Sq. Ft.",1,"11 Reata Pl, Oakland, CA 94618","$1,625,000"
0,3,1,"1,108",Single Family Residential,1940,"4,715 Sq. Ft.",1,"1380 Dwight Way, Berkeley, CA 94702","$1,325,000"
0,2,1,"1,224",Single Family Residential,1926,"5,200 Sq. Ft.",1.5,"2476 West St, Berkeley, CA 94702","$900,000"
0,3,2.5,"1,517",Single Family Residential,1943,"3,750 Sq. Ft.",1,"1442 Fifth St, Berkeley, CA 94710","$1,385,000"
0,4,2,"2,090",Single Family Residential,1925,"4,032 Sq. Ft.",2,"2528 Hawthorne Ter, Berkeley, CA 94708","$1,600,000"
0,3,2,"1,787",Single Family Residential,—,—,—,"1438 Fifth St, Berkeley, CA 94710","$1,505,000"
0,3,3,"2,466",Single Family Residential,1951,"5,200 Sq. Ft.",2,"265 Hillcrest Rd, Berkeley, CA 94705","$3,049,288"
0,3,2,"2,209",No,No,—,2,"1480 9Th St, Berkeley, CA 94710","$1,650,000"
0,2,1,792,Single Family Residential,1926,"2,120 Sq. Ft.",1.5,"3007 Mabel St, Berkeley, CA 94702","$825,000"
0,4,3,"2,148",Single Family Residential,1954,"6,536 Sq. Ft.",1.5,"575 Grizzly Peak Blvd, Berkeley, CA 94708","$1,800,000"
0,5,6.5,"4,864",Multi-Family (2-4 Unit),1995,"8,505 Sq. Ft.",2,"1333 Drury Rd, Berkeley, CA 94705","$2,000,000"
0,3,2,"1,274",Single Family Residential,1922,"3,500 Sq. Ft.",1,"2754 Dohr St, Berkeley, CA 94702","$1,450,000"
0,5,4.5,"3,729",Single Family Residential,1932,"8,000 Sq. Ft.",3,"1701 Spruce St, Berkeley, CA 94709","$2,850,000"
0,3,2.5,"1,436",Single Family Residential,1923,"4,865 Sq. Ft.",1.5,"1431 Addison St, Berkeley, CA 94702","$1,216,000"
0,3,2,—,Single Family Residential,1916,"5,400 Sq. Ft.",1,"819 61St St, Oakland, CA 94608","$780,000"
0,4,2.5,"2,071",Single Family Residential,1925,"1,941 Sq. Ft.",2,"6400 Mystic St, Oakland, CA 94618","$1,860,000"
0,2,1,960,Single Family Residential,1908,"3,150 Sq. Ft.",1,"1611 Ward St, Berkeley, CA 94703","$1,161,000"
0,2,2,"1,840",Single Family Residential,1922,"6,096 Sq. Ft.",1,"906 Contra Costa Ave, Berkeley, CA 94707","$2,250,000"
0,4,3,"2,479",Single Family Residential,1954,0.27 Acres,1,"665 San Luis Rd, Berkeley, CA 94707","$2,350,000"
0,4,4,"2,213",Single Family Residential,1979,"6,572 Sq. Ft.",—,"987 Cragmont Ave, Berkeley, CA 94708","$1,650,000"
0,3,2,"2,496",Single Family Residential,1906,"6,500 Sq. Ft.",1.5,"1715 9Th St, Berkeley, CA 94710","$1,875,000"
0,3,2.5,"1,572",Single Family Residential,1922,"4,808 Sq. Ft.",1,"2311 Edwards St, Berkeley, CA 94702","$1,728,650"
0,3,2,"1,787",Single Family Residential,—,—,—,"1440 Fifth St, Berkeley, CA 94710","$1,500,000"
0,2,2,"1,265",Single Family Residential,1924,"4,000 Sq. Ft.",1,"3021 Dohr St, Berkeley, CA 94702","$1,100,000"
0,2,1,"1,132",Single Family Residential,1925,"4,200 Sq. Ft.",1,"1632 Oak View Ave, Kensington, CA 94707","$960,000"
0,3,1,"1,338",Single Family Residential,1919,"4,200 Sq. Ft.",1,"1197 Oxford St, Berkeley, CA 94707-2623","$1,100,000"
0,3,2.5,"2,066",Single Family Residential,1920,0.27 Acres,2,"73 Tunnel Rd, Berkeley, CA 94705","$1,900,000"
0,2,1,850,Single Family Residential,1909,"3,500 Sq. Ft.",1,"1434 Delaware St, Berkeley, CA 94702","$1,175,000"
0,4,2.5,"2,510",Single Family Residential,1951,"8,800 Sq. Ft.",1,"28 Anson Way, Kensington, CA 94707","$1,450,000"
0,2,1,"1,180",Single Family Residential,1918,"4,000 Sq. Ft.",1,"3043 Dohr St, Berkeley, CA 94702","$1,055,800"
0,5,3,"2,586",Single Family Residential,1926,"5,200 Sq. Ft.",1.5,"483 Boynton Ave, Berkeley, CA 94707","$1,225,000"
0,3,2.5,"2,488",Single Family Residential,1946,"4,410 Sq. Ft.",2,"72 Arlington Ave, Kensington, CA 94707","$1,515,000"
0,2,1,755,Single Family Residential,1924,"5,200 Sq. Ft.",1,"1614 Tenth St, Berkeley, CA 94710","$853,000"
0,3,3.5,"3,901",Single Family Residential,1927,"4,150 Sq. Ft.",2,"964 Spruce St, Berkeley, CA 94707","$2,050,000"
0,2,1,"1,347",Single Family Residential,1924,"2,912 Sq. Ft.",1,"769 Vincente Ave, Berkeley, CA 94707","$1,362,000"
0,2,1.5,"1,844",Single Family Residential,1909,"4,326 Sq. Ft.",1.5,"1507 North St, Berkeley, CA 94703","$1,525,000"
0,4,2.5,"2,075",Single Family Residential,1925,"3,500 Sq. Ft.",1.5,"1115 Curtis St, Albany, CA 94706","$2,050,000"
0,2,2,"1,590",Single Family Residential,1925,"4,800 Sq. Ft.",1,"73 Alamo Ave, Berkeley, CA 94708","$1,500,000"
0,4,3.5,"2,740",Single Family Residential,1924,0.28 Acres,2,"825 The Alameda, Berkeley, CA 94707","$2,050,000"
0,2,1,728,Single Family Residential,1902,"1,840 Sq. Ft.",1,"1836 Russell St, Berkeley, CA 94703","$675,000"
0,2,1.5,"1,278",Single Family Residential,1921,"5,400 Sq. Ft.",2,"1522 Josephine St, Berkeley, CA 94703","$1,600,000"
0,2,1,"1,404",Single Family Residential,1910,"3,745 Sq. Ft.",1,"1028 Ventura Ave, Albany, CA 94706","$1,558,000"
0,5,3.5,"2,904",Single Family Residential,1911,"5,200 Sq. Ft.",1.5,"2410 ROOSEVELT Ave, Berkeley, CA 94703","$2,117,000"
0,2,1,"1,164",Single Family Residential,1910,"4,000 Sq. Ft.",1,"1713 Virginia St, Berkeley, CA 94703","$975,000"
0,4,3,"1,940",Single Family Residential,1943,"5,400 Sq. Ft.",1,"2114 8Th St, Berkeley, CA 94710","$1,410,000"
0,2,2,921,Single Family Residential,1916,"2,400 Sq. Ft.",1,"1749 Delaware St, Berkeley, CA 94703","$1,150,000"
0,3,1.5,"1,657",Single Family Residential,1908,"9,870 Sq. Ft.",1,"1615 Alcatraz Ave, Berkeley, CA 94703","$900,000"
0,3,2,—,Single Family Residential,1925,"4,200 Sq. Ft.",1,"2421 Acton St, Berkeley, CA 94702","$903,000"
0,4,3.5,"2,000",Single Family Residential,—,—,—,"1919 Ninth St, Berkeley, CA 94710","$1,700,000"
0,2,1.5,"1,107",Single Family Residential,1910,"4,800 Sq. Ft.",1,"2339 Curtis St, Berkeley, CA 94702","$1,380,000"
0,3,2,"1,573",Single Family Residential,1923,"4,400 Sq. Ft.",1,"1057 66th St, Oakland, CA 94608","$1,310,000"
0,4,1.5,"2,039",Single Family Residential,1902,"5,400 Sq. Ft.",2,"2534 Etna St, Berkeley, CA 94704","$1,850,000"
0,2,1,"1,051",Single Family Residential,1916,"5,200 Sq. Ft.",1,"1311 Acton St, Berkeley, CA 94706","$1,180,000"
0,3,2,"1,061",Multi-Family (2-4 Unit),1916,"3,365 Sq. Ft.",1,"1228 Hopkins St, Berkeley, CA 94702","$801,000"
0,3,2,"1,493",Single Family Residential,1928,"8,760 Sq. Ft.",2,"47 Canyon Rd, Berkeley, CA 94704","$1,100,000"
0,5,4.5,"2,461",Single Family Residential,1903,"3,300 Sq. Ft.",1.5,"1729 Virginia St, Berkeley, CA 94703","$2,600,000"
0,3,2,,,,,,,"$1,810,000"
0,3,2,"1,764",Single Family Residential,1926,"6,280 Sq. Ft.",1,"769 Keeler Ave, Berkeley, CA 94708","$1,810,000"
0,2,1,876,Single Family Residential,1925,"3,300 Sq. Ft.",1,"1345 Curtis St, Berkeley, CA 94702","$1,200,000"
0,2,1,"1,125",Single Family Residential,1939,"4,400 Sq. Ft.",1.5,"1680 Franklin St, Berkeley, CA 94702","$1,350,000"
0,2,1,"1,146",Single Family Residential,1945,"4,960 Sq. Ft.",1,"1341 Haskell, Berkeley, CA 94702","$1,075,000"
0,3,2,"1,579",Single Family Residential,1910,"3,172 Sq. Ft.",1,"771 Alcatraz Ave, Oakland, CA 94609","$1,200,000"
0,4,2.5,"1,800",Single Family Residential,1974,"5,500 Sq. Ft.",2,"1844 San Ramon Ave, Berkeley, CA 94707","$2,200,000"
0,4,2,"2,184",Single Family Residential,1915,"4,400 Sq. Ft.",2,"2275 Eunice St, Berkeley, CA 94709","$1,700,000"
0,2,1,"1,106",Single Family Residential,1942,"6,587 Sq. Ft.",1,"1450 Cedar St, Berkeley, CA 94702","$1,290,000"
0,4,4.5,"3,700",Single Family Residential,1916,0.29 Acres,—,"103 Alvarado Rd, Berkeley, CA 94705","$3,200,000"
0,4,2,"1,881",Single Family Residential,1910,"8,160 Sq. Ft.",1.5,"1620 Acton St, Berkeley, CA 94702","$2,075,000"
0,4,2,"1,835",Single Family Residential,2015,"6,081 Sq. Ft.",3,"969 Cragmont Ave, Berkeley, CA 94708","$2,200,000"
0,3,2,"1,630",Single Family Residential,1925,"5,498 Sq. Ft.",1.5,"1162 Arch St, Berkeley, CA 94708","$1,650,000"
0,2,1,863,Single Family Residential,1942,"4,200 Sq. Ft.",1,"1012 Addison St, Berkeley, CA 94710","$1,150,000"
0,3,1.5,"1,588",Single Family Residential,1924,"4,160 Sq. Ft.",2,"912 Spruce St, Berkeley, CA 94707","$1,175,000"
0,3,1,"1,475",Single Family Residential,1884,"6,500 Sq. Ft.",2,"1614 6th St, Berkeley, CA 94710-1804","$1,050,000"
0,3,1,"1,032",Single Family Residential,1907,"5,280 Sq. Ft.",1,"968 62nd St, Oakland, CA 94608","$820,000"
0,3,2,"1,393",Single Family Residential,1921,"7,272 Sq. Ft.",1,"801 Contra Costa Ave, Berkeley, CA 94707","$1,203,000"
0,4,3,"1,719",Single Family Residential,1940,"3,800 Sq. Ft.",1.5,"1105 Cornell Ave, Albany, CA 94706","$2,190,000"
0,4,2,"1,652",Single Family Residential,1924,"5,000 Sq. Ft.",1,"1407 Hearst Ave, Berkeley, CA 94702","$1,700,000"
0,5,3.5,"3,891",Single Family Residential,1984,"5,346 Sq. Ft.",2,"2899 Buena Vista Way, Berkeley, CA 94708","$2,255,000"
0,4,3,"1,884",Single Family Residential,1900,"3,400 Sq. Ft.",2,"899 61st St, Oakland, CA 94608","$945,000"
0,4,2,"2,188",Single Family Residential,1927,"8,405 Sq. Ft.",2,"1173 Hearst, Berkeley, CA 94702","$1,518,000"
